parent class,rdfs:label,IRI
Observable entity (observable entity),Swallowing function of larynx (observable entity),http://snomed.info/id/73821007
Observable entity (observable entity),Blood transfusion reaction status (observable entity),http://snomed.info/id/405008007
Observable entity (observable entity),Substance observable (observable entity),http://snomed.info/id/373063009
Observable entity (observable entity),"Active immunity, function (observable entity)",http://snomed.info/id/35123003
Observable entity (observable entity),Number of previous sudden infant death syndrome deaths (observable entity),http://snomed.info/id/718464003
Observable entity (observable entity),Number of times reliever inhaler used per week (observable entity),http://snomed.info/id/734948002
Observable entity (observable entity),Color of hair (observable entity),http://snomed.info/id/80040005
Observable entity (observable entity),Calcium volume (observable entity),http://snomed.info/id/416320009
Observable entity (observable entity),"Lymphocyte transformation response, function (observable entity)",http://snomed.info/id/20374008
Observable entity (observable entity),Date of death (observable entity),http://snomed.info/id/399753006
Observable entity (observable entity),International Federation of Gynecology and Obstetrics stage for gynecological malignancy (observable entity),http://snomed.info/id/385361009
Observable entity (observable entity),Cardiopulmonary bypass flow rate (observable entity),http://snomed.info/id/251277005
Observable entity (observable entity),Semmes-Weinstein monofilament test score (observable entity),http://snomed.info/id/446627007
Observable entity (observable entity),"Mixed lymphocyte culture response, function (observable entity)",http://snomed.info/id/89547009
Observable entity (observable entity),Sample observable (observable entity),http://snomed.info/id/364708003
Observable entity (observable entity),Stroke impact scale version 3.0 strength score (observable entity),http://snomed.info/id/707516004
Observable entity (observable entity),National Wilms Tumor Study Group Stage for right kidney (observable entity),http://snomed.info/id/405976009
Observable entity (observable entity),Canadian Cardiovascular Society grading of angina pectoris grade (observable entity),http://snomed.info/id/763262001
Observable entity (observable entity),Optical density (observable entity),http://snomed.info/id/118289000
Observable entity (observable entity),"Protein hybridization, function (observable entity)",http://snomed.info/id/56290004
Observable entity (observable entity),Child Outcome Rating Scale total score (observable entity),http://snomed.info/id/718458005
Observable entity (observable entity),Sample identification number (observable entity),http://snomed.info/id/372274003
Observable entity (observable entity),Presence of fetal anomaly in specimen (observable entity),http://snomed.info/id/405996001
Observable entity (observable entity),Renal function (observable entity),http://snomed.info/id/11953005
Observable entity (observable entity),Short Physical Performance Battery score (observable entity),http://snomed.info/id/714339007
Observable entity (observable entity),New Zealand Priority Criteria for Major Joint Replacement score (observable entity),http://snomed.info/id/761955007
Observable entity (observable entity),Sensitization (observable entity),http://snomed.info/id/416167002
Observable entity (observable entity),Wechsler Intelligence Scale for Children Full Scale Intelligence Quotient score (observable entity),http://snomed.info/id/761875004
Observable entity (observable entity),Life event observable (observable entity),http://snomed.info/id/364706004
Observable entity (observable entity),"Electron transfer, function (observable entity)",http://snomed.info/id/1255009
Observable entity (observable entity),"Morphogenesis, function (observable entity)",http://snomed.info/id/54125006
Observable entity (observable entity),Environment observable (observable entity),http://snomed.info/id/438950009
Observable entity (observable entity),Detail of care and support circumstances and networks (observable entity),http://snomed.info/id/224475003
Observable entity (observable entity),Metabolic observable (observable entity),http://snomed.info/id/364392006
Observable entity (observable entity),"Sleep, function (observable entity)",http://snomed.info/id/258158006
Observable entity (observable entity),"Molecular, genetic AND/OR cellular observable (observable entity)",http://snomed.info/id/414755005
Observable entity (observable entity),Stage of inspiratory process (observable entity),http://snomed.info/id/415581004
Observable entity (observable entity),Depth of history (observable entity),http://snomed.info/id/160238001
Observable entity (observable entity),Abdominal test finding (observable entity),http://snomed.info/id/271926007
Observable entity (observable entity),Willingness to be a donor (observable entity),http://snomed.info/id/302138009
Observable entity (observable entity),Type of nephrogenic rest present in specimen (observable entity),http://snomed.info/id/406086002
Observable entity (observable entity),Status of estrogen receptors of neoplasm (observable entity),http://snomed.info/id/445028008
Observable entity (observable entity),"Oxidation, function (observable entity)",http://snomed.info/id/26694004
Observable entity (observable entity),"Agglutination, function (observable entity)",http://snomed.info/id/82383000
Observable entity (observable entity),Specimen size (observable entity),http://snomed.info/id/371475003
Observable entity (observable entity),Rookwood Driving Battery overall score (observable entity),http://snomed.info/id/725826009
Observable entity (observable entity),Spiritual growth (observable entity),http://snomed.info/id/373903005
Observable entity (observable entity),Manchester foot pain and disability index score (observable entity),http://snomed.info/id/445953008
Observable entity (observable entity),Marital or partnership status (observable entity),http://snomed.info/id/224083004
Observable entity (observable entity),Characteristic of vocal and verbal behavior (observable entity),http://snomed.info/id/363914007
Observable entity (observable entity),Female sexual function (observable entity),http://snomed.info/id/31255002
Observable entity (observable entity),Stool observable (observable entity),http://snomed.info/id/364689004
Observable entity (observable entity),Grade of skin rash (observable entity),http://snomed.info/id/424223007
Observable entity (observable entity),"Perfusion, Extent, Depth, Infection and Sensation scoring system score (observable entity)",http://snomed.info/id/763255005
Observable entity (observable entity),Family details / household composition (observable entity),http://snomed.info/id/224085006
Observable entity (observable entity),Hospital Anxiety and Depression scale: anxiety score (observable entity),http://snomed.info/id/401319005
Observable entity (observable entity),Contraceptive history (observable entity),http://snomed.info/id/161771009
Observable entity (observable entity),Lactation observable (observable entity),http://snomed.info/id/364381005
Observable entity (observable entity),General physiological development observable (observable entity),http://snomed.info/id/364673002
Observable entity (observable entity),Sexual function (observable entity),http://snomed.info/id/76859005
Observable entity (observable entity),Bone observable (observable entity),http://snomed.info/id/364575001
Observable entity (observable entity),Test distance (observable entity),http://snomed.info/id/252124009
Observable entity (observable entity),Royal College of Physicians 3 questions score (observable entity),http://snomed.info/id/448003001
Observable entity (observable entity),Eating disorder inventory score (observable entity),http://snomed.info/id/446879006
Observable entity (observable entity),Ability to balance (observable entity),http://snomed.info/id/282295000
Observable entity (observable entity),Ear / auditory observable (observable entity),http://snomed.info/id/363990002
Observable entity (observable entity),Skin elasticity (observable entity),http://snomed.info/id/247433003
Observable entity (observable entity),Blood product unit expiration time (observable entity),http://snomed.info/id/116767008
Observable entity (observable entity),Apparent age (observable entity),http://snomed.info/id/102519007
Observable entity (observable entity),Histologic type of tumor-associated epithelial lesion (observable entity),http://snomed.info/id/396663007
Observable entity (observable entity),Template version identifier (observable entity),http://snomed.info/id/437728003
Observable entity (observable entity),Fluid appearance (observable entity),http://snomed.info/id/396276007
Observable entity (observable entity),Denver Development Screening Test score (observable entity),http://snomed.info/id/718386001
Observable entity (observable entity),Primary insurer (observable entity),http://snomed.info/id/398174006
Observable entity (observable entity),Male sexual function (observable entity),http://snomed.info/id/32689005
Observable entity (observable entity),Central nervous system observable (observable entity),http://snomed.info/id/363821008
Observable entity (observable entity),Stroke impact scale version 3.0 score (observable entity),http://snomed.info/id/707514001
Observable entity (observable entity),Pulmonary function (observable entity),http://snomed.info/id/106053004
Observable entity (observable entity),"Antibody variation, function (observable entity)",http://snomed.info/id/27308008
Observable entity (observable entity),Initial coronary reperfusion location (observable entity),http://snomed.info/id/405800001
Observable entity (observable entity),Body fluid property (observable entity),http://snomed.info/id/106090003
Observable entity (observable entity),Urothelial carcinoma World Health Organization/International Society of Urological Pathology histologic grade (observable entity),http://snomed.info/id/396659000
Observable entity (observable entity),Apnea Hypopnea Index (observable entity),http://snomed.info/id/774099003
Observable entity (observable entity),Mount Wilga High Level Language Test score (observable entity),http://snomed.info/id/716824000
Observable entity (observable entity),Time of symptom onset (observable entity),http://snomed.info/id/405795006
Observable entity (observable entity),Site of non-invasive (desmoplastic) ovarian tumor omental implant (observable entity),http://snomed.info/id/397512008
Observable entity (observable entity),International neuroblastoma pathology classification (observable entity),http://snomed.info/id/409728006
Observable entity (observable entity),Date treatment stopped (observable entity),http://snomed.info/id/413947000
Observable entity (observable entity),"Immunologic avidity, function (observable entity)",http://snomed.info/id/77559007
Observable entity (observable entity),International Federation of Gynecology and Obstetrics stage for cervical carcinoma (observable entity),http://snomed.info/id/385367008
Observable entity (observable entity),Physiologic motion (observable entity),http://snomed.info/id/417205008
Observable entity (observable entity),"Phagocytosis, function (observable entity)",http://snomed.info/id/56639005
Observable entity (observable entity),Number of occurrences observable (observable entity),http://snomed.info/id/702748008
Observable entity (observable entity),"Immunopotency, function (observable entity)",http://snomed.info/id/66847005
Observable entity (observable entity),Calculus appearance (observable entity),http://snomed.info/id/412835001
Observable entity (observable entity),Biopsy site (observable entity),http://snomed.info/id/396991001
Observable entity (observable entity),Tumor volume (observable entity),http://snomed.info/id/258261001
Observable entity (observable entity),Occupational Performance History Interview II Version 2.1 occupational competence scale score (observable entity),http://snomed.info/id/718883001
Observable entity (observable entity),Modified Harris hip score (observable entity),http://snomed.info/id/446084001
Observable entity (observable entity),Status of correlation between radiographic image and pathologic finding (observable entity),http://snomed.info/id/425911000
Observable entity (observable entity),"Infradian biorhythm, function (observable entity)",http://snomed.info/id/71863004
Observable entity (observable entity),Cancer protocol observable (observable entity),http://snomed.info/id/371440003
Observable entity (observable entity),Cormack and Lehane System score (observable entity),http://snomed.info/id/718470009
Observable entity (observable entity),Status of invasion of pulmonary parenchyma by tumor (observable entity),http://snomed.info/id/396918008
Observable entity (observable entity),Fitness for activity (observable entity),http://snomed.info/id/719333006
Observable entity (observable entity),Oral cavity observable (observable entity),http://snomed.info/id/364111005
Observable entity (observable entity),Ability to manage exercise regime (observable entity),http://snomed.info/id/705020009
Observable entity (observable entity),Chronic respiratory disease questionnaire observable (observable entity),http://snomed.info/id/473329003
Observable entity (observable entity),Functional analysis of care environments score (observable entity),http://snomed.info/id/447245007
Observable entity (observable entity),"Complement fixation, function (observable entity)",http://snomed.info/id/20000007
Observable entity (observable entity),Status of vascular invasion by tumor (observable entity),http://snomed.info/id/371512006
Observable entity (observable entity),Abstinence history (observable entity),http://snomed.info/id/416835003
Observable entity (observable entity),"Mechanical fragility, function (observable entity)",http://snomed.info/id/19611009
Observable entity (observable entity),Mode of ventilation monitoring features (observable entity),http://snomed.info/id/405260009
Observable entity (observable entity),"Ear, nose / throat observable (observable entity)",http://snomed.info/id/363989006
Observable entity (observable entity),Clock position of wound tunneling (observable entity),http://snomed.info/id/1311000124104
Observable entity (observable entity),Dying process (observable entity),http://snomed.info/id/399069006
Observable entity (observable entity),Total Gleason score (observable entity),http://snomed.info/id/384997002
Observable entity (observable entity),System reason for exclusion from performance measure (observable entity),http://snomed.info/id/291000124102
Observable entity (observable entity),Clockface position of neoplasm of nipple (observable entity),http://snomed.info/id/444478008
Observable entity (observable entity),Status of specimen involvement by matted nodes (observable entity),http://snomed.info/id/396415001
Observable entity (observable entity),"Acid-base equilibrium, function (observable entity)",http://snomed.info/id/78049003
Observable entity (observable entity),Cause of death (observable entity),http://snomed.info/id/184305005
Observable entity (observable entity),Secondary Insurer identification number (observable entity),http://snomed.info/id/397978006
Observable entity (observable entity),Occupational Performance History Interview II Version 2.1 occupational identity scale score (observable entity),http://snomed.info/id/718872005
Observable entity (observable entity),Time of arrival of emergency services (observable entity),http://snomed.info/id/405798008
Observable entity (observable entity),Integrity of skin (observable entity),http://snomed.info/id/364535009
Observable entity (observable entity),Color of tissue (observable entity),http://snomed.info/id/250432003
Observable entity (observable entity),Lymphoma stage (observable entity),http://snomed.info/id/385388004
Observable entity (observable entity),Percentage of tumor involved by necrosis (observable entity),http://snomed.info/id/405921002
Observable entity (observable entity),Planned stop date for anticoagulation therapy (observable entity),http://snomed.info/id/865985007
Observable entity (observable entity),"Nucleic acid denaturation, function (observable entity)",http://snomed.info/id/45071003
Observable entity (observable entity),"Implantation in uterus, function (observable entity)",http://snomed.info/id/25602002
Observable entity (observable entity),Degree of interruption to education (observable entity),http://snomed.info/id/224289005
Observable entity (observable entity),Guarantor phone number (observable entity),http://snomed.info/id/398198004
Observable entity (observable entity),"Blood-testis barrier, function (observable entity)",http://snomed.info/id/86824003
Observable entity (observable entity),Logarithm of the odds score (observable entity),http://snomed.info/id/58577001
Observable entity (observable entity),Thickness of skin (observable entity),http://snomed.info/id/247428002
Observable entity (observable entity),History interpretation (observable entity),http://snomed.info/id/271905007
Observable entity (observable entity),Average intensity of positive staining neoplastic cells (observable entity),http://snomed.info/id/444775005
Observable entity (observable entity),Adolescent development (observable entity),http://snomed.info/id/404962000
Observable entity (observable entity),"Congestive heart failure, hypertension, age 2, diabetes mellitus, stroke 2, vascular disease, age, sex category stroke risk score (observable entity)",http://snomed.info/id/735259005
Observable entity (observable entity),Fluid overload status (observable entity),http://snomed.info/id/405007002
Observable entity (observable entity),Genitourinary test finding (observable entity),http://snomed.info/id/271927003
Observable entity (observable entity),Level of nausea (observable entity),http://snomed.info/id/700471003
Observable entity (observable entity),Tumor focality (observable entity),http://snomed.info/id/396199003
Observable entity (observable entity),"Yawning, function (observable entity)",http://snomed.info/id/37993006
Observable entity (observable entity),Functional reach (observable entity),http://snomed.info/id/404935008
Observable entity (observable entity),Respiratory system examined - no abnormality detected (observable entity),http://snomed.info/id/268926000
Observable entity (observable entity),Ability to manage dietary regimen (observable entity),http://snomed.info/id/705050001
Observable entity (observable entity),Screening interpretation (observable entity),http://snomed.info/id/271937008
Observable entity (observable entity),Cardiac arrest location (observable entity),http://snomed.info/id/405803004
Observable entity (observable entity),Obstetric investigative observable (observable entity),http://snomed.info/id/364362002
Observable entity (observable entity),Mood Disorder Questionnaire score (observable entity),http://snomed.info/id/865933005
Observable entity (observable entity),Patient postal code (observable entity),http://snomed.info/id/184102003
Observable entity (observable entity),Viscosity (observable entity),http://snomed.info/id/78949001
Observable entity (observable entity),"Host response, function (observable entity)",http://snomed.info/id/103082006
Observable entity (observable entity),Age at leaving school (observable entity),http://snomed.info/id/224287007
Observable entity (observable entity),Blood loss status (observable entity),http://snomed.info/id/404999000
Observable entity (observable entity),Time from arrival at facility to administration of parenteral treatment (observable entity),http://snomed.info/id/448885006
Observable entity (observable entity),Presence of fetal tissue in specimen (observable entity),http://snomed.info/id/397477008
Observable entity (observable entity),Date of most recent screening for disease (observable entity),http://snomed.info/id/439271000
Observable entity (observable entity),Movement (observable entity),http://snomed.info/id/255324009
Observable entity (observable entity),Prescription observable (observable entity),http://snomed.info/id/351000124102
Observable entity (observable entity),"Immune response, function (observable entity)",http://snomed.info/id/35024006
Observable entity (observable entity),Feature of circulating blood (observable entity),http://snomed.info/id/416251000
Observable entity (observable entity),Status of surgical distal margin involvement by tumor (observable entity),http://snomed.info/id/372440000
Observable entity (observable entity),Young Person's Clinical Outcomes in Routine Evaluation clinical score (observable entity),http://snomed.info/id/718437004
Observable entity (observable entity),Nausea and vomiting status (observable entity),http://snomed.info/id/405166007
Observable entity (observable entity),Pattern of fever (observable entity),http://snomed.info/id/248430002
Observable entity (observable entity),Status of perineural invasion by tumor (observable entity),http://snomed.info/id/371513001
Observable entity (observable entity),Family milestone (observable entity),http://snomed.info/id/160852007
Observable entity (observable entity),"Legal, financial, employment and socioeconomic history detail (observable entity)",http://snomed.info/id/302148006
Observable entity (observable entity),Mitotic index (observable entity),http://snomed.info/id/27350008
Observable entity (observable entity),Goal Attainment Scaling-Light score (observable entity),http://snomed.info/id/770552007
Observable entity (observable entity),Fungicidal activity (observable entity),http://snomed.info/id/404266005
Observable entity (observable entity),Oral cavity AND/OR esophageal function (observable entity),http://snomed.info/id/106081005
Observable entity (observable entity),Reference weight (observable entity),http://snomed.info/id/248350002
Observable entity (observable entity),Nottingham Combined Grade (observable entity),http://snomed.info/id/372276001
Observable entity (observable entity),Liver function (observable entity),http://snomed.info/id/79036002
Observable entity (observable entity),Stimulus voltage (observable entity),http://snomed.info/id/246518003
Observable entity (observable entity),"Body growth, function (observable entity)",http://snomed.info/id/7749005
Observable entity (observable entity),"Gas clearance, function (observable entity)",http://snomed.info/id/27421000
Observable entity (observable entity),"Gametogenesis, function (observable entity)",http://snomed.info/id/57110001
Observable entity (observable entity),World Health Organization grade for central nervous system tumor (observable entity),http://snomed.info/id/396920006
Observable entity (observable entity),One leg stand test time (observable entity),http://snomed.info/id/707285009
Observable entity (observable entity),"Diffusion, function (observable entity)",http://snomed.info/id/46638006
Observable entity (observable entity),Color of wound (observable entity),http://snomed.info/id/364556006
Observable entity (observable entity),Salford Rheumatoid Arthritis Foot Evaluation Instrument Part A: Fixed Scale - Impairment total score (observable entity),http://snomed.info/id/764901007
Observable entity (observable entity),Multiple organ dysfunction score (observable entity),http://snomed.info/id/425795004
Observable entity (observable entity),Patient sex (observable entity),http://snomed.info/id/184100006
Observable entity (observable entity),"Site, Ischemia, Neuropathy, Bacterial Infection and Depth classification total score (observable entity)",http://snomed.info/id/763258007
Observable entity (observable entity),Ability to mobilize (observable entity),http://snomed.info/id/301438001
Observable entity (observable entity),Reproductive function (observable entity),http://snomed.info/id/118255001
Observable entity (observable entity),"Complement activation pathway, function (observable entity)",http://snomed.info/id/27960005
Observable entity (observable entity),"Photophosphorylation, function (observable entity)",http://snomed.info/id/413009
Observable entity (observable entity),"Blood-brain barrier, function (observable entity)",http://snomed.info/id/20245001
Observable entity (observable entity),Sample appearance (observable entity),http://snomed.info/id/407708003
Observable entity (observable entity),Spleen observable (observable entity),http://snomed.info/id/364106008
Observable entity (observable entity),Referring organization (observable entity),http://snomed.info/id/716757008
Observable entity (observable entity),Ultrasonographic observable (observable entity),http://snomed.info/id/421469009
Observable entity (observable entity),Obstetric pelvic observable (observable entity),http://snomed.info/id/364365000
Observable entity (observable entity),Age at starting school (observable entity),http://snomed.info/id/224286003
Observable entity (observable entity),Nail observable (observable entity),http://snomed.info/id/364540001
Observable entity (observable entity),"Perception, function (observable entity)",http://snomed.info/id/81742003
Observable entity (observable entity),International Federation of Gynecology and Obstetrics stage for vulvar carcinoma (observable entity),http://snomed.info/id/385369006
Observable entity (observable entity),Status of peritumoral lymphocyte response (observable entity),http://snomed.info/id/371509008
Observable entity (observable entity),University of Texas Wound Classification System grade (observable entity),http://snomed.info/id/763004009
Observable entity (observable entity),"Neurosecretion, function (observable entity)",http://snomed.info/id/75717007
Observable entity (observable entity),Nutrition knowledge of community (observable entity),http://snomed.info/id/819977006
Observable entity (observable entity),Status of surgical margin involvement by tumor (observable entity),http://snomed.info/id/395535007
Observable entity (observable entity),"Result, lab.- general (observable entity)",http://snomed.info/id/275924004
Observable entity (observable entity),Time since symptom started (observable entity),http://snomed.info/id/162434008
Observable entity (observable entity),Tumor location after sectioning (observable entity),http://snomed.info/id/396985003
Observable entity (observable entity),Risk factor (observable entity),http://snomed.info/id/80943009
Observable entity (observable entity),Time of call for help (observable entity),http://snomed.info/id/405796007
Observable entity (observable entity),Maternal age (observable entity),http://snomed.info/id/13506008
Observable entity (observable entity),"Low altitude acclimation, function (observable entity)",http://snomed.info/id/65507004
Observable entity (observable entity),EuroQol five dimension five level index value (observable entity),http://snomed.info/id/736534008
Observable entity (observable entity),Tumor extent of invasion (observable entity),http://snomed.info/id/371487005
Observable entity (observable entity),Odor of vomit (observable entity),http://snomed.info/id/167839000
Observable entity (observable entity),Organ AND/OR tissue involved by tumor (observable entity),http://snomed.info/id/399483003
Observable entity (observable entity),Binary individualized outcome measure score (observable entity),http://snomed.info/id/447272004
Observable entity (observable entity),Site involved by direct extension of tumor (observable entity),http://snomed.info/id/384813000
Observable entity (observable entity),"Host defense, function (observable entity)",http://snomed.info/id/5418000
Observable entity (observable entity),"Metabolic pathway, function (observable entity)",http://snomed.info/id/129457002
Observable entity (observable entity),"Pregnancy, childbirth / puerperium observable (observable entity)",http://snomed.info/id/364319003
Observable entity (observable entity),Location of tumor within eye (observable entity),http://snomed.info/id/399725006
Observable entity (observable entity),Behavior observable (observable entity),http://snomed.info/id/363896009
Observable entity (observable entity),Hair growth observable (observable entity),http://snomed.info/id/364549000
Observable entity (observable entity),Revised Token Test score (observable entity),http://snomed.info/id/716611002
Observable entity (observable entity),Antenatal data (observable entity),http://snomed.info/id/268469004
Observable entity (observable entity),Survival time (observable entity),http://snomed.info/id/445320007
Observable entity (observable entity),Breast consistency (observable entity),http://snomed.info/id/733851004
Observable entity (observable entity),Legal affairs and legal constraints (observable entity),http://snomed.info/id/224329005
Observable entity (observable entity),Status of distant metastasis (observable entity),http://snomed.info/id/399608002
Observable entity (observable entity),Medical Research Council Dyspnoea scale score (observable entity),http://snomed.info/id/450755002
Observable entity (observable entity),Serum appearance (observable entity),http://snomed.info/id/314037008
Observable entity (observable entity),Biopsy interpretation (observable entity),http://snomed.info/id/271935000
Observable entity (observable entity),Inhaling (observable entity),http://snomed.info/id/258160008
Observable entity (observable entity),Number of admissions (observable entity),http://snomed.info/id/298060002
Observable entity (observable entity),Repertory Grid score (observable entity),http://snomed.info/id/716837002
Observable entity (observable entity),Frenchay Activities Index score (observable entity),http://snomed.info/id/716840002
Observable entity (observable entity),Infection status (observable entity),http://snomed.info/id/405009004
Observable entity (observable entity),Function (observable entity),http://snomed.info/id/246464006
Observable entity (observable entity),Age at onset of clinical finding (observable entity),http://snomed.info/id/445518008
Observable entity (observable entity),Intercourse (observable entity),http://snomed.info/id/258139002
Observable entity (observable entity),Color of specimen (observable entity),http://snomed.info/id/250430006
Observable entity (observable entity),"Immunologic surveillance, function (observable entity)",http://snomed.info/id/47196002
Observable entity (observable entity),Name (observable entity),http://snomed.info/id/703503000
Observable entity (observable entity),Hemoglobin S D G region electrophoresis pattern (observable entity),http://snomed.info/id/116719003
Observable entity (observable entity),Acute physiology and chronic health evaluation risk of hospital death score (observable entity),http://snomed.info/id/278299007
Observable entity (observable entity),Liver observable (observable entity),http://snomed.info/id/364159005
